pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,nivel
¿Cuál es la capital de Francia?,Madrid,Berlín,París,Lisboa,C,facil
¿Qué planeta es conocido como el planeta rojo?,Venus,Marte,Júpiter,Saturno,B,facil
¿Cuál es el proceso por el cual las plantas convierten la luz en energía?,Respiración,Fotosíntesis,Transpiración,Digestión,B,facil
¿Quién pintó la Mona Lisa?,Pablo Picasso,Leonardo da Vinci,Miguel Ángel,Donatello,B,facil
¿Cuál es el número pi aproximado?,3.14,2.71,1.618,1.414,A,facil
¿En qué año se independizó México de España?,1810,1821,1835,1848,B,media
¿Cuál es el elemento químico con número atómico 1?,Hidrógeno,Helio,Litio,Carbono,A,media
¿Qué río atraviesa a Egipto?,Nilo,Amazonas,Mississippi,Sena,A,media
¿Quién escribió 'Don Quijote de la Mancha'?,Gabriel García Márquez,Miguel de Cervantes,William Shakespeare,Jorge Luis Borges,B,media
¿Cuál es la velocidad aproximada de la luz en el vacío?,"300,000 km/s","150,000 km/s","1,000,000 km/s","30,000 km/s",A,media
"¿Qué filósofo griego es conocido por su afirmación 'Pienso, luego existo'?",Aristóteles,Platón,Descartes,Sócrates,C,dificil
¿Cuál es el teorema que establece a^2 + b^2 = c^2?,Teorema de Pitágoras,Teorema de Tales,Teorema de Euclides,Teorema de Bolzano,A,dificil
¿Qué evento marcó el inicio de la Segunda Guerra Mundial?,Asesinato de Sarajevo,Invasión de Polonia,Bombardeo de Pearl Harbor,Revolución Francesa,B,dificil
¿Cuál es la célula de la respuesta inmune adaptativa?,Neutrófilos,Linfocitos,Eritrocitos,Plaquetas,B,dificil
¿Qué significa HTTP en internet?,Hyper Text Transfer Protocol,High Transfer Text Protocol,Home Tool Transfer Protocol,Hyper Tool Text Process,A,dificil
¿Cuál es la velocidad angular de escape de un agujero negro de Schwarzschild?,c,2c,c/2,c^2,A,ultra_dificil
¿Qué postulado de Euclides fue cuestionado en la geometría no euclidiana?,El postulado de las paralelas,El postulado de los segmentos,El postulado de las rectas,El postulado de los ángulos,A,ultra_dificil
¿Cuál es el número de catalizadores de la conjetura de Collatz?,Infinitos,Finitos,Desconocido,Uno,C,ultra_dificil
¿Qué principio físico rige la termodinámica estadística en el ensamble de Gibbs?,Principio de mínima energía,Principio de máxima entropía,Principio de superposición,Principio de exclusión de Pauli,B,ultra_dificil
¿Cuál es la dimensión del espacio de Hilbert del átomo de hidrógeno?,3,4,Infinita,2,C,ultra_dificil
